text,label
I am having chest pain and shortness of breath,High
I noticed severe bleeding after surgery,High
My child has a high fever and is very lethargic,High
I feel dizzy after taking my medication,Medium
My baby has mild rash but no fever,Medium
I have a mild headache and occasional nausea,Medium
I skipped my contraceptive pills and had breakthrough bleeding,Low
How long should I wait to try to conceive after skipping pills?,Low
Just want to know if I can take vitamins during pregnancy,Low
"My son has high myopia, what precautions should I take?",Medium
I just got one side of my wisdom teeth removed and noticed a hard lump,Medium
My gums feel slightly sore after brushing,Low
My child has mild cough but no fever or shortness of breath,Low
I feel shortness of breath while climbing stairs,High
Severe abdominal pain and vomiting,High
I feel a little dizzy and lightheaded in the morning,Medium
Post-coital spotting but no pain or discomfort,Low
"My baby has mild diarrhea, seems active otherwise",Low
I feel weakness and fatigue with palpitations,High
Mild headache after taking cold medicine,Low
My child fell and has a small bruise on the arm,Low
Severe headache with blurred vision,High
I noticed slight bleeding after flossing,Low
"My gums are swollen and red, slight pain",Medium
I have mild back pain after exercise,Low
My baby has a rash spreading quickly with fever,High
I feel shortness of breath at night sometimes,High
My child has mild nasal congestion,Low
I noticed my wisdom tooth area is slightly swollen,Medium
I am having irregular bleeding after skipping pills,Low
My husband and I did cocaine a week ago and want to conceive,Low
My 6-year-old has high fever and vomiting,High
Mild muscle pain after gym workout,Low
I am very worried about my child's vision,Medium
My baby vomited twice today but is active,Medium
I feel severe abdominal cramps with nausea,High
My gums bleed a little when brushing,Low
My child has mild ear pain but no fever,Medium
I noticed heavy bleeding after my surgery,High
My baby is fussy but feeding normally,Low
I feel palpitations and dizziness,High
My child has mild rash and cough,Medium
My wisdom teeth removal area is very swollen and painful,High
I am concerned about breakthrough bleeding after skipping pills,Low
My baby has mild cold symptoms,Low
I have mild headache and fatigue,Medium
My child fell and has a large cut on the forehead,High
I feel mild back pain after long sitting,Low
My child has swelling and redness in the arm,Medium
Severe chest pain radiating to arm,High
My gums are slightly swollen after dental cleaning,Medium
My baby has mild diaper rash,Low
I am concerned about breakthrough bleeding,Low
My child has high temperature and lethargy,High
Mild headache with slight nausea,Medium
I feel shortness of breath after exercise,High
My baby has mild cough and congestion,Low
My child has mild eye redness,Low
I am worried about missed contraceptive pills,Low
My gums are sore and inflamed,Medium
My child fell and has bruising,Medium
Severe headache with vomiting,High
My baby has mild rash but is active,Low
I feel dizzy and have palpitations,High
My child has mild stomach ache,Medium
I am concerned about my baby's irregular feeding,Low
My wisdom tooth removal site is painful,Medium
Severe abdominal pain with vomiting,High
My child has mild rash with no fever,Low
I have chest tightness and shortness of breath,High
My baby is coughing mildly,Low
My child has mild headache,Low
My gums bleed heavily after flossing,High
Mild back pain after exercise,Low
My baby has mild cold symptoms,Low
Severe chest pain at night,High
My child has mild nasal congestion,Low
I feel mild dizziness in the morning,Medium
My wisdom tooth area is very sore and swollen,High
My baby has mild diarrhea,Low
My child has mild rash,Low
Severe abdominal cramps,High
My gums are slightly swollen,Medium
My baby is fussy but otherwise fine,Low
I have breakthrough bleeding after missed pills,Low
My child has mild cough,Low
Severe headache with vision changes,High
My gums feel sore after dental procedure,Medium
My baby has mild vomiting,Low
I am feeling dizziness and weakness,High
My child has mild rash and congestion,Medium
Shortness of breath and chest tightness,High
My baby has mild fever,Medium
My child fell and has minor scratches,Low
My gums bleed a little,Low
I feel palpitations and fatigue,High
My child has mild stomach discomfort,Medium
I am concerned about breakthrough bleeding,Low
My wisdom tooth site is slightly swollen,Medium
Severe abdominal pain and nausea,High
My baby has mild rash and cough,Low
My child has mild headache,Low
I feel mild back pain,Low
My gums are inflamed and sore,Medium
Severe chest pain radiating to the arm,High
My baby is feeding normally,Low
My child has mild cough and fever,Medium
